,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,7,emb,0.09974644827128853,24,512,21.333333333333332,1.6745179896987148,6.138223873148258,0.3165804650204269,True,4630.907716304556,embedding,6.159408876688515,3.7884512075026198,3.6656661265566153,enc_embedding.temporal_embedding.hour_embed.emb,24,6144.000006778778,24,8,0,1,0.2384781222741395,4630.907716304556,1.326737733327509,success,68.05077307646516,5.026040116310952e-07,over-trained,9,4630.907716304556,71.1852248729541
1,11,emb,0.06440151056355115,32,512,16.0,1.7941810259645472,6.768091945036033,0.33550338589723566,True,5918.966183471258,embedding,6.785643071510643,3.9133899439830246,3.7722458587463454,enc_embedding.temporal_embedding.day_embed.emb,32,8192.000006625914,32,10,0,1,0.2511420916537291,5918.966183471258,1.3840254788922624,success,76.9348177580948,4.5804136653934365e-07,over-trained,14,5918.966183471258,88.77040940940003
2,13,emb,0.25818705542863063,13,512,39.38461538461539,1.0991189792969844,3.7765825674393474,0.2732938163236277,True,2729.033550640774,embedding,3.843569620780719,3.522183318290721,3.43600887490353,enc_embedding.temporal_embedding.month_embed.emb,13,3328.000005149805,13,9,0,1,0.03303965976566148,2729.033550640774,1.2194793297313602,success,52.24015266670623,2.0865580561057084e-06,over-trained,3,2729.033550640774,0.0010039005159383188
3,21,emb,0.09974644827128853,24,512,21.333333333333332,1.6745179896987148,6.138223873148258,0.3165804650204269,True,4630.907716304556,embedding,6.159408876688515,3.7884512075026198,3.6656661265566153,dec_embedding.temporal_embedding.hour_embed.emb,24,6144.000006778778,24,8,0,1,0.2384781222741395,4630.907716304556,1.326737733327509,success,68.05077307646516,5.026040116310952e-07,over-trained,9,4630.907716304556,71.1852248729541
4,25,emb,0.06440151056355115,32,512,16.0,1.7941810259645472,6.768091945036033,0.33550338589723566,True,5918.966183471258,embedding,6.785643071510643,3.9133899439830246,3.7722458587463454,dec_embedding.temporal_embedding.day_embed.emb,32,8192.000006625914,32,10,0,1,0.2511420916537291,5918.966183471258,1.3840254788922624,success,76.9348177580948,4.5804136653934365e-07,over-trained,14,5918.966183471258,88.77040940940003
5,27,emb,0.25818705542863063,13,512,39.38461538461539,1.0991189792969844,3.7765825674393474,0.2732938163236277,True,2729.033550640774,embedding,3.843569620780719,3.522183318290721,3.43600887490353,dec_embedding.temporal_embedding.month_embed.emb,13,3328.000005149805,13,9,0,1,0.03303965976566148,2729.033550640774,1.2194793297313602,success,52.24015266670623,2.0865580561057084e-06,over-trained,3,2729.033550640774,0.0010039005159383188
6,35,query_projection,0.1145663175185121,512,512,1.0,10.126266639540718,1.2418024564508579,0.9201128258178328,True,1.326269599512097,dense,2.1729345125663078,2.231056721613187,0.1226318149279131,encoder.attn_layers.0.attention.query_projection,512,170.23808356078484,512,28,0,1,1.7247022804778493,1.326269599512097,128.35858080695763,success,1.1516377900677353,0.00015427775897489256,under-trained,1,1.326269599512097,1.012137436698096
7,36,key_projection,0.13325075910875472,512,512,1.0,9.874508270281716,1.101687582720322,0.9197573485473002,True,1.2929116689847406,dense,2.1383422220676156,2.232355932868014,0.11156885513336974,encoder.attn_layers.0.attention.key_projection,512,170.74812087718794,512,30,0,1,1.6202561221331497,1.2929116689847406,132.06479991882816,success,1.1370627374884557,9.882488369316571e-05,under-trained,1,1.2929116689847406,1.0022874042981458
8,37,value_projection,0.12990366258100705,512,512,1.0,11.005797184609557,1.283263927781062,0.9199605030359581,True,1.3079733866702976,dense,2.2374287772856247,2.2321289591032083,0.11659890748991548,encoder.attn_layers.0.attention.value_projection,512,170.65890671508254,512,27,0,1,1.9256165659970423,1.3079733866702976,130.47582500858692,success,1.1436666414083685,0.0003731303488768263,under-trained,1,1.3079733866702976,1.0317601001801033
9,38,out_projection,0.12286941339392898,512,512,1.0,8.794536602916374,1.0938751796280508,0.9197612141237794,True,1.3316227879470723,dense,2.119017315035271,2.2321507828306344,0.12438121859260996,encoder.attn_layers.0.attention.out_projection,512,170.66748270947699,512,33,0,1,1.3568546610965704,1.3316227879470723,128.16503611551326,success,1.1539596127885379,0.0008679066779149258,under-trained,1,1.3316227879470723,0.981763683049835
